date,name,close,pct,amount,turnover,pe,pb
2026-09-07,BK1340,12530.21,7.62,98983973599.0,6.13,69.4,
2026-09-07,BK0459,58793.58,6.72,123171329695.0,6.1,68.02,
2026-09-07,BK1518,5322.57,6.35,8380980238.0,13.38,163.21,
2026-09-07,BK1516,1201.62,6.13,3662490058.0,6.65,-2662.95,
2026-09-07,BK1591,15090.88,5.44,121822847998.0,3.57,71.48,
2026-09-07,BK1261,3070.13,5.34,14099063386.0,8.47,125.51,
2026-09-07,BK1509,6496.95,4.74,1456054452.0,3.3,29.03,
2026-09-07,BK1592,25153.47,4.6,29632599794.0,5.66,64.62,
2026-09-07,BK1551,2191.12,4.58,6545662248.0,4.11,-49.75,
2026-09-07,BK1552,1773.82,4.56,3803989458.0,4.98,-33.21,
2026-09-07,BK1339,12690.29,4.42,24187356096.0,6.03,61.68,
2026-09-07,BK1326,48151.15,4.4,35384316535.0,2.36,108.67,
2026-09-07,BK1510,1043.75,4.36,730717058.0,3.4,-246.37,
2026-09-07,BK1409,19414.19,4.16,16040231807.0,5.2,75.53,
2026-09-07,BK1513,1165.91,4.09,329951372.0,4.18,53.83,
2026-09-07,BK1332,3226.1,4.04,29316532054.0,4.43,103.58,
2026-09-07,BK1039,3226.1,4.04,29316532054.0,4.43,103.58,
2026-09-07,BK1410,7126.3,4.02,11417701521.0,2.9,104.71,
2026-09-07,BK1296,1068.37,4.0,4620367505.0,21.41,62.13,
2026-09-07,BK1504,1633.28,3.97,3373934146.0,9.82,46.15,
2026-09-07,BK1260,1069.81,3.85,1175593601.0,6.15,-22.07,
2026-09-07,BK1325,12631.24,3.83,23055179928.0,3.37,397.42,
2026-09-07,BK1334,15861.82,3.78,16513113602.0,2.97,243.94,
2026-09-07,BK1514,716.39,3.67,845642229.0,6.54,-12.77,
2026-09-07,BK0448,24326.12,3.64,168005448335.0,4.22,69.54,
2026-09-07,BK1618,5429.57,3.4,4664458868.0,1.87,53.93,
2026-09-07,BK1433,3497.91,3.32,2524030448.0,5.74,17.52,
2026-09-07,BK1517,1421.08,3.29,1034283047.0,7.79,15.75,
2026-09-07,BK1322,9246.52,3.27,16471205538.0,2.9,100.15,
2026-09-07,BK1327,15590.22,3.23,22486117133.0,2.64,-100.0,
2026-09-07,BK1328,8343.13,3.22,18013703978.0,4.72,62.54,
2026-09-07,BK1298,2878.58,3.21,3939879565.0,13.99,-54.56,
2026-09-07,BK1411,2020.21,3.15,6167858799.0,3.09,-462.87,
2026-09-07,BK1020,2020.21,3.15,6167858799.0,3.09,-462.87,
2026-09-07,BK1289,1757.63,3.12,4556594386.0,3.49,36.11,
2026-09-07,BK1553,1516.56,3.1,2804651302.0,3.28,30.17,
2026-09-07,BK0433,15942.13,3.06,44295116520.0,5.59,-138.64,
2026-09-07,BK1505,2668.05,3.04,3938917153.0,4.66,61.35,
2026-09-07,BK1462,15223.26,3.01,16997227985.0,4.89,57.85,
2026-09-07,BK1201,13122.8,2.99,511638910619.0,2.91,67.06,
2026-09-07,BK1560,2483.14,2.98,1490105853.0,4.41,25.48,
2026-09-07,BK1256,2484.99,2.92,8093209657.0,5.23,50.78,
2026-09-07,BK1237,11059.63,2.91,46419846114.0,2.73,91.41,
2026-09-07,BK0482,17778.32,2.89,15813466287.0,3.18,-19.15,
2026-09-07,BK1034,3079.31,2.86,17885613847.0,1.65,62.87,
2026-09-07,BK1297,2987.3,2.85,821551653.0,6.97,88.24,
2026-09-07,BK1556,1101.66,2.85,741217848.0,6.39,-101.6,
2026-09-07,BK1336,14997.23,2.82,17725213280.0,3.8,42.12,
2026-09-07,BK1223,14997.23,2.82,17725213280.0,3.8,42.12,
2026-09-07,BK1502,4985.72,2.8,4547414586.0,21.78,-57.14,
2026-09-07,BK1255,4985.72,2.8,4547414586.0,21.78,-57.14,
2026-09-07,BK1563,3115.71,2.78,2705005835.0,5.72,48.69,
2026-09-07,BK1581,6613.48,2.78,1227870862.0,2.77,23.79,
2026-09-07,BK1215,7848.98,2.78,176441633725.0,1.53,32.3,
2026-09-07,BK1258,3666.32,2.72,5808326733.0,4.71,-38.34,
2026-09-07,BK1218,1983.95,2.68,5820533021.0,2.37,20.31,
2026-09-07,BK1437,7134.68,2.58,4109146677.0,2.87,48.59,
2026-09-07,BK1580,2815.91,2.56,2360160805.0,3.82,31.3,
2026-09-07,BK1036,2702.32,2.55,234924547968.0,3.04,79.73,
2026-09-07,BK1271,2395.54,2.53,2139782073.0,4.71,35.82,
2026-09-07,BK1272,3201.51,2.51,6118202981.0,5.19,79.47,
2026-09-07,BK1625,8134.73,2.47,5877355345.0,2.67,32.82,
2026-09-07,BK1515,1013.24,2.43,1021310042.0,2.77,298.22,
2026-09-07,BK1329,3672.82,2.4,12546037423.0,1.71,136.18,
2026-09-07,BK1562,3024.44,2.34,1855130659.0,5.87,113.83,
2026-09-07,BK1299,3777.89,2.33,7453333313.0,6.64,-49.13,
2026-09-07,BK1319,1968.47,2.31,993287284.0,1.36,-7.56,
2026-09-07,BK1288,5734.4,2.29,10949006121.0,2.19,66.59,
2026-09-07,BK0458,21856.23,2.28,16327965373.0,2.41,157.01,
2026-09-07,BK1222,3642.07,2.25,8598279837.0,6.05,-52.36,
2026-09-07,BK1405,5662.09,2.22,28070669222.0,3.35,78.25,
2026-09-07,BK1565,1275.83,2.22,570426386.0,3.31,43.88,
2026-09-07,BK1038,2095.7,2.22,38659316134.0,2.13,138.9,
2026-09-07,BK1259,4246.62,2.21,9206622699.0,3.94,-45.21,
2026-09-07,BK1561,1842.89,2.2,1558066486.0,4.18,243.57,
2026-09-07,BK1407,5747.5,2.19,8862309901.0,1.98,50.79,
2026-09-07,BK1491,1642.14,2.14,552802942.0,2.63,50.88,
2026-09-07,BK1512,4419.2,2.13,7001442212.0,4.22,-33.44,
2026-09-07,BK1338,13865.5,2.11,64536108336.0,2.16,36.31,
2026-09-07,BK1507,1586.06,2.11,609588587.0,3.02,34.02,
2026-09-07,BK1508,2121.18,2.09,3742683693.0,5.13,-9.32,
2026-09-07,BK1443,4109.09,2.07,761283060.0,1.81,55.48,
2026-09-07,BK1292,2330.56,2.06,993728349.0,1.29,25.74,
2026-09-07,BK1478,934.67,2.06,4876871823.0,4.39,-108.26,
2026-09-07,BK0725,934.67,2.06,4876871823.0,4.39,-108.26,
2026-09-07,BK1582,744.61,2.03,637276199.0,1.57,32.76,
2026-09-07,BK1454,2838.45,2.01,680627963.0,1.48,64.24,
2026-09-07,BK1316,2295.08,1.99,3527864878.0,1.57,-367.81,
2026-09-07,BK1300,612.29,1.98,1144946524.0,3.2,-69.18,
2026-09-07,BK1455,5230.82,1.98,7668060910.0,3.19,40.23,
2026-09-07,BK1242,5230.82,1.98,7668060910.0,3.19,40.23,
2026-09-07,BK1495,1211.26,1.96,717594334.0,1.56,27.16,
2026-09-07,BK1593,4214.2,1.96,14942879699.0,5.07,67.95,
2026-09-07,BK1457,2079.24,1.95,818367613.0,1.35,25.37,
2026-09-07,BK1290,2210.75,1.94,1263938634.0,1.09,13.96,
2026-09-07,BK1585,2348.74,1.92,4047514678.0,1.81,24.41,
2026-09-07,BK0454,21705.96,1.92,19673193924.0,3.17,70.92,
2026-09-07,BK1282,2355.81,1.88,5536296505.0,1.71,23.79,
2026-09-07,BK1305,262.62,1.88,51251596.0,1.47,-7.04,
2026-09-07,BK1559,1579.44,1.87,649676219.0,5.29,-78.73,
